street,depth
Industriestraße,30–50 cm
Am Falltor,50–100 cm
Kreuzbergstraße,50–100 cm
Mandelbergstraße,30–50 cm
Kalkbergstraße,50–100 cm
Baumgartenstraße,50–100 cm
Schliedererstraße,50–100 cm
Bauerndoktor-Gros-Straße,50–100 cm
Im Ringel,50–100 cm
Europastraße,50–100 cm
Lachener Straße,50–100 cm
Im Drötschgarten,30–50 cm
Von-Dalheim-Straße,50–100 cm
Zum Klausental,50–100 cm
Kurt-Schumacher-Straße,50–100 cm
Bismarckstraße,50–100 cm
Im Döppelter,50–100 cm
Im Kautz,30–50 cm
Geschwister-Scholl-Straße,30–50 cm
Weinbachstraße,50–100 cm
Schwimmbadstraße,50–100 cm
Kardinal-Wendel-Straße,50–100 cm
Prälat-Hartz-Straße,50–100 cm
Im Ringgarten,50–100 cm
Franz-Kugler-Straße,30–50 cm
Im Diepelsatz,50–100 cm
Kapellenstraße,50–100 cm
Erika-Köth-Straße,50–100 cm
Im Falkenhorst,30–50 cm
Theodor-Haubach-Straße,30–50 cm
Sankt-Martiner-Straße,50–100 cm
Neugasse,50–100 cm
Gerichtstraße,50–100 cm
Brunnenstraße,50–100 cm
Am Hüttbaum,50–100 cm
Merowingerstraße,30–50 cm
Breslauer Straße,50–100 cm
Branchweilerhof,30–50 cm
Sandfeldweg,30–50 cm
Keltenstraße,30–50 cm
Wilhelm-Leuschner Straße,30–50 cm
Dr.- Goerdeler-Straße,30–50 cm
Stauffenbergstraße,30–50 cm
Heinrich-Strieffler-Straße,50–100 cm
Hanns-Fay-Straße,30–50 cm
Otto-Dill-Straße,30–50 cm
Schlachthofstraße,30–50 cm
Von-der-Tann-Straße,50–100 cm
Conrad-Freytag-Straße,30–50 cm
Spitalgasse,50–100 cm
Eckstraße,50–100 cm
Im Kirchfeld,30–50 cm
Massastraße,50–100 cm
Weiherstraße,50–100 cm
Rathausstraße,50–100 cm
Oberer Schnetzweg,50–100 cm
Stiftstraße,30–50 cm
Diedesfelder Straße,30–50 cm
Im Kirchenstück,50–100 cm
Dieterwiesenstraße,50–100 cm
Blumenstraße,50–100 cm
Am Leimenweg,50–100 cm
In den Nonnenwiesen,30–50 cm
Hainstraße,50–100 cm
Am Bürgergarten,30–50 cm
Gienanthstraße,50–100 cm
Rohgasse,50–100 cm
Hahnenweg,50–100 cm
Am Altenweg,50–100 cm
Am Weißen Haus,50–100 cm
Röhrweidenweg,50–100 cm
Lauterbachstraße,50–100 cm
Pfarrhausstraße,30–50 cm
Rolandsberg,50–100 cm
Burgunderstraße,30–50 cm
Rilkestraße,50–100 cm
Am Herzel,50–100 cm
Holzmühlstraße,50–100 cm
Talwiesenstraße,50–100 cm
An der Südumgehung,50–100 cm
Johannes-Damm-Straße,30–50 cm
Spreisselgasse,50–100 cm
Langwiesenweg,50–100 cm
Bennstraße,50–100 cm
Friedhofweg,50–100 cm
Burggarten,30–50 cm
Jahnplatz,30–50 cm
Am Schenkwiesenweg,50–100 cm
Münzbrücke,30–50 cm
Karl-Ohler-Straße,50–100 cm
Kirrweilerer Straße,50–100 cm
Ölbergstraße,30–50 cm
Blütenstraße,50–100 cm
Heumarktstraße,50–100 cm
Querstraße,50–100 cm
Am Wassergraben,30–50 cm
Landschreibereistraße,50–100 cm
Oberst-Barret-Straße,30–50 cm
Ägyptenpfad,50–100 cm
Bahnstraße,50–100 cm
Im Goldschmied,30–50 cm
Löwengasse,50–100 cm
Im Mandelacker,50–100 cm
An der Schießmauer,30–50 cm
Im Taubenrausch,30–50 cm
Fürstenweg,30–50 cm
Gelbwärts,50–100 cm
Im Biengarten,50–100 cm
In der Türkengewanne,50–100 cm
Im Gemminger,30–50 cm
Im Kränzler,50–100 cm
Im Hassert,50–100 cm
Wiesenweg,30–50 cm
Sonneneck,30–50 cm
Rennpfad,30–50 cm
Langenböhl,50–100 cm
Burgunderweg,30–50 cm
Zyriakusweg,50–100 cm
Bacchusweg,50–100 cm
Am Weinbach,50–100 cm
Küferweg,30–50 cm
Rudolf-Breitscheid-Straße,50–100 cm
Joppenholzstraße,50–100 cm
Spelzenackerstraße,50–100 cm
Mauerweg,30–50 cm
Berliner Straße,30–50 cm
Obere Hofstückstraße,50–100 cm
Mühltalstraße,50–100 cm
Habergartenstraße,30–50 cm
St.-Urban-Straße,50–100 cm
An der Marlach,50–100 cm
Kirschgartenstraße,50–100 cm
Königsgarten,50–100 cm
Marktplatz,50–100 cm
Dr.-Julius-Siben-Straße,50–100 cm
Bischof-Ketteler-Straße,50–100 cm
Brühlstraße,30–50 cm
Im Stöckelfeld,50–100 cm
Domprobst-Dr.-Weindel-Straße,30–50 cm
Steppeswiesenstraße,50–100 cm
Eulbuschgasse,50–100 cm
In den Sandwiesen,30–50 cm
Achtzehnmorgenpfad,30–50 cm
Kirchbergweg,50–100 cm
Traminerstraße,30–50 cm
Im Jägergarten,50–100 cm
Apothekergasse,50–100 cm
Kastanienweg,30–50 cm
Glockengasse,50–100 cm
Fischerstraße,50–100 cm
Traminerweg,50–100 cm
Von-Hutten-Straße,30–50 cm
Bienengasse,50–100 cm
Walkstraße,50–100 cm
Bürgermeister-Köhler-Straße,30–50 cm
Blainviller Straße,50–100 cm
Auf der Schafweide,30–50 cm
An der Zitadelle,30–50 cm
Karl-Rauch-Siedlung,50–100 cm
Dörrentalstraße,30–50 cm
Ernst-Reuter-Straße,30–50 cm
Im Häuselgarten,50–100 cm
Lambertusstraße,30–50 cm
Johann-Casimir-Straße,50–100 cm
Neutalstraße,50–100 cm
Terrassenweg,30–50 cm
Bachstraße,50–100 cm
An der Steinmühle,50–100 cm
Am Schneckenpfad,50–100 cm
Am Alsterbach,30–50 cm
Rietburgstraße,30–50 cm
Frühlingstraße,30–50 cm
Robert-Schuman-Straße,30–50 cm
Hauberallee,50–100 cm
Stettiner Straße,50–100 cm
Lambrechter Straße,50–100 cm
Im Schneller,30–50 cm
Zeppelinstraße,50–100 cm
Webergasse,50–100 cm
Lauterstraße,50–100 cm
Richard-Platz-Straße,30–50 cm
Erbgasse,50–100 cm
Im Letten,30–50 cm
Appelgasse,30–50 cm
Winzerweg,30–50 cm
Strahläcker,50–100 cm
Bassermann-Jordan-Straße,30–50 cm
Im Paradies,30–50 cm
Am Amtsgarten,30–50 cm
Eugenie-Abresch-Straße,30–50 cm
Amalienstraße,50–100 cm
Moosbrunnenweg,50–100 cm
Am Pfefferminzbähnel,50–100 cm
